,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
49,50,,Renaldas Seibutis,,SG,21.6,"6'6""",185,"6'8 ¾""",13.8,3.3,2.8,18.9,,Lithuania,-
50,51,,JamesOn Curry,,PG/SG,21.1,"6'3""",190,-,6.8,2.7,4.5,9.1,,G-League,-0.00
51,52,,Taurean Green,,PG,21.3,"6'1""",173,"6'2 ¼""",9.8,2.3,3.5,14.2,,Israel,-0.07
52,53,,Demetris Nichols,,SF,22.5,"6'7""",211,"7'0 ¼""",9.7,3.2,1.8,17.1,,Croatia,-0.07
53,54,,Brad Newley,,SG,22,"6'6""",198,"6'7 ¼""",11.8,5.1,3.1,15.2,,Australia,-
54,55,,Herbert Hill,,PF/C,22.4,"6'10""",232,"7'2 ¼""",8.0,5.6,0.6,10.9,,Venezuela,-
55,56,,Ramon Sessions,,PG,20.9,"6'4""",185,"6'4 ¼""",0.0,0.0,0.0,0.0,,NBA,2.66
56,57,,Sammy Mejia,,PG,24.1,"6'7""",218,"6'11 ¼""",12.7,5.8,3.0,19.0,,Turkey,-
57,58,,Giorgos Printezis,,SF/PF,22,"6'9""",223,-,11.7,5.5,1.8,17.3,,EuroLeague,-
58,59,,D.J. Strawberry,,SG,21.7,"6'5""",199,"6'6 ½""",11.7,3.2,4.2,14.2,,Turkey,-0.62
59,60,,Milovan Rakovic,,PF/C,22,"6'10""",269,-,12.4,5.8,2.8,17.1,,Switzerland,-
